JobID,Schedule Name,Schedule Time,Schedule Type,Enabled
mqafF9Zk,Embrace/10 Embrace - Student Demographics to Embrace (1 minute past the hour),"06:01 AM,06:02 AM,07:01 AM,07:02 AM,08:01 AM,08:02 AM,09:01 AM,09:02 AM,10:01 AM,10:02 AM,11:01 AM,11:02 AM,12:01 PM,12:02 PM,01:01 PM,01:02 PM,02:01 PM,02:02 PM,03:01 PM,03:02 PM,04:01 PM,04:02 PM,05:01 PM,05:02 PM,06:01 PM,06:02 PM,07:01 PM,07:02 PM",daily,true
VCWkDPQF,Embrace/11 Embrace - IPSD_Student_Additional_504 to Embrace (2 minutes after the hour),"06:02 AM,07:02 AM,08:02 AM,09:02 AM,10:02 AM,11:02 AM,12:02 PM,01:02 PM,02:02 PM,03:02 PM,04:02 PM,05:02 PM,06:02 PM,07:02 PM",daily,true
CqzbcDUB,Embrace/14 Embrace - Rename the old poweriep-students file,03:59 AM,daily,true
bzVpgTfh,Embrace/15 Embrace - Move poweriep-students file,04:00 AM,daily,true
tGXkN3ef,Embrace/16 Embrace - from sftp to sqlprod1,"06:10 AM,07:10 AM,08:10 AM,09:10 AM,10:10 AM,11:10 AM,12:10 PM,01:10 PM,02:10 PM,03:10 PM,04:10 PM,05:10 PM,06:10 PM",daily,true
4CarzkUw,Embrace/Embrace - Email if Files Found (PDF),8:00 AM,minutely,false
mQF4gDq4,Embrace/Embrace - From Edupoint to Embrace (To Edupoint Folder) (Manual),8:00 AM,manually,false
w6kpwHVv,Embrace/Embrace - From Embrace to Edupoint (PDF) -BROKEN (OFF),06:00 AM,minutely,false
PdpGG4mn,Embrace/Embrace - To IPSD to EduPoint (File),04:00 AM,manually,false
eGBVfXqw,Embrace - To IPSD to EduPoint (File) (DELETE),04:00 AM,daily,false
D7YXdpUA,FreeReduced/01 Upload FRM Files (RI Cred),09:50 PM,daily,false
uWvf9Ubn,FreeReduced/02 Send Log Files,10:30 PM,daily,false
9dugwufc,Frontline - Professional Growth/01 Send PG User Import File,10:05 PM,daily,true
T9cNEDpy,GG4L/GG4L,03:30 AM,daily,true
aqfMkDV3,Google Drive/00 GDrive - Student Photos to CrushFTP (Quarterly),06:00 AM,monthly,false
4dNHdNcH,Google Drive/01 GDrive - Student Photos to CrushFTP,10:00 PM,daily,false
4HMpFXqd,Google Drive/02 GDrive - Student Photos to PushCoin,11:00 PM,minutely,true
BXr4EZ4M,Google Drive/0A GDrive - Student Photos to PushCoin,10:00 PM,manually,true
NHmGbEMm,Google Drive/0X GDrive - Student Photos to PushCoin (Not Using),10:00 PM,daily,false
wta2AaPX,Google Drive/16 Brookdale GDrive Photos,8:00 AM,manually,true
fT7rxEHw,Google Drive/99 - Test,8:00 AM,manually,false
27M2Gn27,Google Drive/99 GDrive - Student Photos to CrushFTP (Manual),10:00 PM,manually,true
CK2nn9ZR,Google Drive/Copy Of 00 GDrive - Student Photos to CrushFTP (Manual),06:00 AM,manually,true
wkknFzMR,Google Drive/Copy Of 01 GDrive - Student Photos to CrushFTP (Manual By School),10:00 PM,daily,false
vpQxy3d2,Google Drive/i16 GDrive - Student Photos to PushCoin (Brookdale),01:00 AM,monthly,true
W8zrtVZf,Google Drive/i28 GDrive - Student Photos to PushCoin (Brooks),01:00 AM,monthly,true
FRdu2hQz,HMH/01 Upload HMH Zip File,09:10 PM,daily,false
KzqZrHHk,HMH/02 Transfer HMH File,09:15 PM,daily,false
ePKTTB4d,IXL Math/01 Upload IXL Files,10:30 PM,daily,false
WQFmWFEM,IXL Math/02 Transfer IXL Files,10:37 PM,daily,false
gazWbGXE,KickUp/01 KickUp Send,06:55 PM,daily,true
KVzVbyqN,LaunchPad/Create ZIP file to send to BFW,05:30 PM,daily,true
Pc2MWCdF,LaunchPad/find,8:00 AM,manually,true
d37HbhwZ,LaunchPad/Upload Files,8:00 AM,manually,true
h9egpcHd,Lexia/01 Upload Lexia Files (Disabled - Summer),07:35 PM,daily,false
fMeV8Brw,Lexia/02 Transfer Lexia Files (Disabled - Summer),07:40 PM,daily,false
4ecBW689,Lexia/03 Lexia Error Logs (Disabled - Summer),03:00 AM,daily,false
CQyxqvcW,LinkIt/00 Initial Update (Manual Only),8:00 AM,manually,true
VD24VbvZ,LinkIt/01 Transfer LinkIt Staff Student Files (2 30 AM),02:30 AM,daily,true
CBMdcgab,LinkIt/02 Transfer LinkIt Attendance File (2 30 AM),02:30 AM,daily,true
8TwZEQ4R,LinkIt/03 Transfer LinkIt Grades File (2 30 AM),02:30 AM,daily,true
KBcqPPh6,MasteryManager/01 Upload MasteryManager Files,08:00 PM,daily,false
Xanc6Cyt,MasteryManager/02 Transfer MasteryManager Files,03:03 AM,daily,false
Yk7TpV7y,McGrawHill/01 Upload McGrawHill File,01:15 AM,daily,false
kxMHPYtC,McGrawHill/02 Transfer McGrawHill File,01:30 AM,daily,false
3gtATd3U,NatGeo/01 Upload NatGeo Files,11:20 PM,daily,false
